Id,name,barcode,type,model,qty,qty_balance,price,price_yuan,supplier,branch,status,technicianId,machinery_no,replace_capacity,purchase_date,rental_rate,engine_model,serial_no,alternator_serial_no,capacity,min_litre,consumption,brand,engine_no,width,length,height,oem,description,balance_treshold,rack_no,maxTechhold,maxOrder,owner
39,SC039,SC039,GENSET,UD50F3,0,,0,0,,,Idle,0,SC039,,01-May-08,0.00,F3L,,,30KVA,0,0,,80201,0,0,0,0,0,0,0,0,0,0
40,SC040,SC040,GENSET,UD20F1,0,,0,0,,,Idle,0,SC040,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,19012014,81,135,123,0,0,0,0,0,0,0
41,SC041,SC041,GENSET,UD20F1,0,,0,0,,,Idle,0,SC041,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1305072,81,135,123,0,0,0,0,0,0,0
42,SC042,SC042,GENSET,UD25F2,0,,0,0,,,Idle,0,SC042,,12-Oct-13,0.00,F2L,,,20KVA,0,0,,131017,106,135,119,0,0,0,0,0,0,0
45,SC045,SC045,GENSET,UD20F1,0,,0,0,,,Idle,0,SC045,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1303118,81,135,123,0,0,0,0,0,0,0
46,SC046,SC046,GENSET,UD20F1,0,,0,0,,,Idle,0,SC046,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1307011,81,135,123,0,0,0,0,0,0,0
47,SC047,SC047,GENSET,UD25F2,0,,0,0,,,Idle,0,SC047,,01-Oct-09,0.00,F2L,,,20KVA,0,0,,70103,106,135,119,0,0,0,0,0,0,0
49,SC049,SC049,GENSET,UD20F1,0,,0,0,,,Idle,0,SC049,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,130303,81,135,123,0,0,0,0,0,0,0
51,SC051,SC051,GENSET,UD20F1,0,,0,0,,,Idle,0,SC051,,01-Oct-09,0.00,F1L,,,10KVA,0,0,,1407123,81,135,123,0,0,0,0,0,0,0
52,SC052,SC052,GENSET,UD20F1,0,,0,0,,,Idle,0,SC052,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1307005,81,135,123,0,0,0,0,0,0,0
53,SC053,SC053,GENSET,UD20F1,0,,0,0,,,Idle,0,SC053,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,61001,81,135,123,0,0,0,0,0,0,0
54,SC054,SC054,GENSET,UD50F3,0,,0,0,,,Idle,0,SC054,,01-Sep-08,0.00,F3L,,,30KVA,0,0,,80195,0,0,0,0,0,0,0,0,0,0
55,SC055,SC055,GENSET,UD30IS,0,,0,0,,,Idle,0,SC055,,06-Jan-14,0.00,4JB1,25EXS-13110080,,25KVA,0,0,,D37970,90,228,123,0,0,0,0,0,0,0
56,SC056,SC056,GENSET,UD20F1,0,,0,0,,,Idle,0,SC056,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,61004,81,135,123,0,0,0,0,0,0,0
62,SC062,SC062,GENSET,UD20F1,0,,0,0,,,Idle,0,SC062,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1501015,81,135,123,0,0,0,0,0,0,0
63,SC063,SC063,GENSET,UD50F3,0,,0,0,,,Idle,0,SC063,,01-Sep-08,0.00,F3L,,,30KVA,0,0,,80191,0,0,0,0,0,0,0,0,0,0
64,SC064,SC064,GENSET,UD20F1,0,,0,0,,,Idle,0,SC064,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1407121,81,135,123,0,0,0,0,0,0,0
65,SC065,SC065,GENSET,UD20F1,0,,0,0,,,Idle,0,SC065,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,9012015,81,135,123,0,0,0,0,0,0,0
66,SC066,SC066,GENSET,UD20F1,0,,0,0,,,Idle,0,SC066,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1407122,81,135,123,0,0,0,0,0,0,0
67,SC067,SC067,GENSET,UD20F1,0,,0,0,,,Idle,0,SC067,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,61008,81,135,123,0,0,0,0,0,0,0
68,SC068,SC068,GENSET,UD20F1,0,,0,0,,,Idle,0,SC068,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1402014,81,135,123,0,0,0,0,0,0,0
69,SC069,SC069,GENSET,UD50F3,0,,0,0,,,Idle,0,SC069,,01-May-08,0.00,F3L,,,30KVA,0,0,,80199,0,0,0,0,0,0,0,0,0,0
70,SC070,SC070,GENSET,UD50F3,0,,0,0,,,Idle,0,SC070,,01-May-08,0.00,F3L,,,30KVA,0,0,,80200,0,0,0,0,0,0,0,0,0,0
71,SC071,SC071,GENSET,UD50F3,0,,0,0,,,Idle,0,SC071,,01-May-08,0.00,F3L,,,30KVA,0,0,,80197,0,0,0,0,0,0,0,0,0,0
72,SC072,SC072,GENSET,UD50F3,0,,0,0,,,Idle,0,SC072,,01-May-08,0.00,F3L,,,30KVA,0,0,,80203,0,0,0,0,0,0,0,0,0,0
